Time,Speaker,Transcripts 
0:05,Caitlyn ,"Okay, so I'm just gonna wait first, can you say your name really quickly so we can get started?"
0:13,Jack,Jack
0:14,Caitlyn ,"Thank you. So I'm just gonna reiterate some of the stuff we told you about consent earlier. So your participation in the study is voluntary. You may change your mind about participation, even though you're provided us with your consent or assent previously, you do not have to answer any questions you do not want to answer and you may decide to withdraw at any point in our later with no consequences and your identity will be kept. Yes, so the first question is, have you ever encountered a homeless person or homeless people before?"
0:46,Jack,"Yes.  Just like people on the street, in New York City… yeah.  "
0:55,Caitlyn ,What did you observe about this group of peopleWhat did you observe about this group of people?
0:58,Jack,"Um, they aren't just sitting on the street. Some of them are, like begging for money usually. Then, like, a lot of people just ignore them. "
1:14,Caitlyn ,What do you think contributes to people being homeless? 
1:19,Jack,"Um, I think like, it's mainly the economic system in the US, for people who have nothing, it's pretty hard to start somewhere. And I have a job. So like, after, like, it's mostly about people who have money, they could always make more money, but it's hard for people, they just kind of come from the bottom. "
1:46,Caitlyn ,"In what ways do you think the homeless can be helped? And what do you think they need the most? Or like, what challenges do you think they're experiencing beyond what you've said over? "
1:56,Jack,"I think maybe. I mean, they're like shelters in place kind of right now. But I think maybe like education in like, way. So like, um, like, provide them jobs. That maybe like that. Some people might not do or just kind of give them like a start in life, like not just like giving them kind of money or food, but like, some sort of, like, sustain it, like foundations existing themselves? And what was the other part of that question? "
2:36,Caitlyn ,"Just like, what challenges do you think they experienced? "
2:39,Jack,"Oh, I'm just kind of, yeah, I was trying to be like this in necessities. "
2:47,Caitlyn ,"Okay, um, to kind of a different topic. What do you think about when you hear the phrase design? "
2:55,Jack,"Design? Like, I think of it as like art, usually. Yeah, just art. Maybe something? Yeah. "
3:10,Caitlyn ,What do you think about when you hear the phrase engineering design? 
3:17,Jack,"And then design more like building stuff, like making machines or any sort of technology based materials? Yeah. "
3:33,Caitlyn ,"Can you think of one failed design that you've encountered in your life?  It doesn't have to be like, Apollo 11 or something, but like, maybe like a door that doesn't open all the way or something like that."
3:53,Jack,"I've experienced like, door like doors that like they like don't open on the layer that like, hard to open. Or like, just like the way that like, like, ABC, like on doors that has like that thing that like pulls it back in sometimes, like, I feel like some of them are uncomfortable. But like I haven't experienced any major like fault like thoughts and like designs "
4:27,Caitlyn ,"Have you had design experience before where you've designed it? And that doesn't have to mean like, building a machine but just like even drawing a picture or something like that?"
4:38,Jack,"Um yeah, I took a I remember in like, middle school, maybe I took like some engineering base class and it was like all hypothetical, but like the design, like your own technology that you think would like benefit the future. "
5:00,Caitlyn ,"Cool. Um, what did you create in that experience? And like, how did you do it? How do you feel about it?"
5:07,Jack,"I remember when I was kind of young, so I remember like, I kind of thought of like a robot that would like, kind of be that will take care of like your house, but also be like your kind of assistant, I think AI type thing. And I create a whole presentation about it. And this is how I feel about it. Yeah. I thought it was a good idea. But logistically, it probably would be like, you know, out of my out of our reach."
5:42,Caitlyn ,"Okay, awesome. Thank you so much"
