Time,Speaker,Transcripts 
0:02,Caitlyn ,"Okay. And then more of what I was just saying, Your participation is voluntary, you can change your mind. At any point, even though you filled out the consent form. You don't have to answer any questions you don't want to answer. These are pretty mild questions, though. But even so, and you can decide to withdraw at any point now or later with no consequences. Your identity will be confidential. Yeah. Okay. So the first question in this category is, have you ever encountered a homeless person or homeless people before?"
0:35,Emily,Yes
0:36,Caitlyn ,Okay. What did you notice about him? Or them?
0:40,Emily,"They were homeless and probably like presented like, like a homeless person, how they dress? "
0:47,Caitlyn ,"Um, what do you think contributes to people being homeless? "
0:51,Emily,Like economic factors? 
0:55,Caitlyn ,"I think if I ask what challenges obviously, it's like, they don't have a home. But like, from that what kind of secondary challenges do you think they're experiencing?"
1:05,Emily,"Like, drug addiction, poverty? "
1:09,Caitlyn ,"Makes sense. And then what do you think they need the most, "
1:12,Emily,"I guess, getting assigned to a house? Yeah. Probably like social workers help just finding a job getting the resources they need to do interviews and that kind of stuff. Yeah.  "
1:20,Caitlyn ,"Yeah, that makes sense.  Okay, I'm kind of switching topics a little bit. Have you ever had design experience before? What do you think about when you hear the phrase engineering and design? Math? Have you ever heard about humanizing engineering design?"
1:43,Emily,I heard about it a little when I first came to BC and like opened the new building 
1:51,Caitlyn ,"But, um, what would you like guess that it means"
1:55,Emily,"I guess engineering to like better the world and like the people not so much like, like the math side or the people side?"
2:03,Caitlyn ,"Since I'm asking but do you think humans play a role in engineering design? Obviously, humans are engineers. But I guess beyond that. "
2:19,Emily,"That's tough, because I'm not sure what engineering design is. "
2:26,Caitlyn ,Can you think of one failed design that you've encountered in your life? 
2:30,Emily,I failed design? Yeah. Like when the door like hits the toilet? 
2:34,Caitlyn ,Yeah. So do you like or enjoy playing with technology? 
2:43,Emily,"Yeah, "
2:44,Caitlyn ,"yeah. Like, what specifically? "
2:47,Emily,"My phone. I'm big on that. I've done like the Oculus thing. Oh, yeah. I've played on that. I'm just like, I use social media the most. "
2:56,Caitlyn ,"Yeah. Yeah, that makes sense. What is the technology that you're currently excited about? or looking forward to being able to use"
3:02,Emily,my phone
3:04,Caitlyn ,Cool. Thanks so much.
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
